notaword | No sentence found.
señalar | Señaló a otro de los guardias que quedaban.
manar | Levantó una mano y señaló.
voz | Y si había oído voces
quién | Y no sé quién es ese mago, pero no es de los nuestros.
mujer | Quién era esa mujer
o | un hombre o una mujer de gran poder
dar | O ya se la había dado
querer | Sé lo que quieres y no te lo voy a dar.
allí | —Dice que deberías estar allí, si quieres que lo hagan.
todavía | como si él o ella todavía estuviera allí
acercar | El otro se acercó y bajó la voz todavía más.
gestar | Esta le hizo un gesto para que se acercara más.
les | Noche les hizo un gesto para que se acercaran.
mano | Lo dejaré en manos de aquí Shell.
volver | Después volvió a mirar a Manos.
sin | —Espera un momento —dijo el hombre en taliano sin volverse.
hacia | —Se volvió hacia sus guardias—.
seguir | Sigue sin haber nada que hablar.
ojo | Los ojos de los dos lo siguieron.
sargento | Arrojo se volvió hacia el sargento Banath.
abrir | En ese momento levantó los ojos y abrió las manos.
brazo | Ghelel abrió mucho los brazos otra vez.
caer | Después dejó caer el brazo—.
hombro | Después los dejó caer y bajó los hombros.
poner | —Le puso una mano en el hombro.
tirar | —Quiere decir que los han estado tirando —dijo la mujer.
lado | Esta se tiró a su lado—.
zarigüeya | Zarigüeya se lo quedó mirando y dejó caer los brazos a los lados.
salir | —Debería salir más, sargento.
llamar | Nos llamó, pero no quiso salir de allí.
mientras | Deberíamos llamarlo a él —dijo el mago mientras se levantaba.
caminar | —Ella siguió hablando mientras caminaban—.
siempre | Por qué tendrían que seguir caminando así, sin parar, para siempre
bien | A ese hombre siempre se le había dado bien hablar y no decir nada.
muy | —Muy bien, sargento, que entren.
también | —Yo ahora también estoy bien —dijo con los ojos puestos en el thel akai—.
viajero | Viajero también miraba a un lado.
ni | Ni parece que vayamos a llegar.
tú | Se llevó a Janelle, dirán… pero tú lo sabrás.
correr | Les dije que habías salido corriendo para cargártelo tú.
echar | Noche habría echado a correr si hubiera podido.
espada | Genist fue a echar mano de su espada.
gritar | En ese momento Rell estaba gritando algo y señalaba con una espada.
maldecir | —¡Corra, maldita sea! —gritó el hombre.
éste | —¡Espera! ¡Espera, maldito seas! ¡No puedes hacer esto! —Echó mano de su espada.
tierra | Esto ha maldecido mis tierras
nosotros | Nosotros solo estamos de paso por las tierras de Bael, después de todo.
cuando | —¿Y qué hacemos nosotros cuando lleguen aquí? —preguntó Kyle.
uno | —Es un mago —le gritó uno al oído cuando pasó—.
encontrar | —Uno de ellos te encontrarás.
mismo | Era como si se enfrentaran a sí mismos, y, de hecho, así era, suponía.
coger | —Lo mismo que vas a coger tú —dijo uno.
crear | —Creo que eso quizá pueda hacerlo.
capitán | —¿Alil? Muy bueno, capitán.
lanzar | Fue el capitán de Lanza hace mucho tiempo.
ahí | Pero no creo que ella vaya a quedarse por ahí a esperarlos.
acechar | Acecho cogió a Kyle por el brazo.
caro | Acecho se había echado allí con un brazo sobre la cara.
inclinar | Sin volver la cara, Denuth se inclinó.
pensar | Rillish se inclinaba a pensar lo mismo.
morir | Zarigüeya supuso que ella también estaría pensando en la mujer muerta.
alguno | Y no era que algunos no fueran a morir esa noche.
responder | —Eso mismo estaba pensando yo —respondió el capitán.
entonces | Acecho se volvió entonces hacia Ereko.
trémulo | —¿Quién entonces? —preguntó Trémula.
ante | Trémula se inclinó ante Despellejador.
cuanto | —Cuanto antes salgamos de aquí, mejor…
venir | a qué viene tanto grito
verdad | —¿Qué más da? Si de verdad nos quisieran encontrar, ya lo habrían hecho.
meter | Tenías que meterte, ¿verdad? Debería haberlo sabido.
sonrisa | —Y se metió las manos bajo los brazos con una gran sonrisa.
asentir | Zarigüeya asintió con una sonrisa.
desde | Vamos a bajar desde ahí.
alrededor | Molk miró a su alrededor y le hizo un gesto para que bajara la voz.
casar | —Entonces deberían haberse quedado en casa.
mundo | Todo el mundo preguntaba qué había pasado; Toc no les hizo caso.
piar | Todo el mundo, hasta Heuk, se puso de pie.
sedar | Arrojo dejó de caminar y Seda siguió.
señora | —Sí, señor —respondió Kyle sin pensar.
poco | —¿Yo, señor? ¡Nada, señor! Solo un poco de sed, nada más.
alguien | Si viene alguien, cogedlo.
oscuridad | Alguien allí de pie, en la oscuridad
exclamar | —Muerta, señor —exclamó alguien en la oscuridad.
del | —¿El Kestral? —exclamó Trémula a los del otro lado.
tras | —Yo tengo esto… —exclamó tras Lim.
embozar | —Oye, mira, maldito del Embozado…
puerta | Seda señaló las puertas de enfrente.
reír | Hay dos puertas del Río entre nosotros y ellos.
humar | Humo se echó a reír.
apartar | —No lo encontrarán —dijo Humo en un aparte.
vieja | —Habla, viejo —dijo sin apartar los ojos.
yelmo | Arrojo vio que todavía llevaba el maldito metido bajo el brazo como si fuera un yelmo.
contra | Lurin se lanzó contra Shurll.
luchar | No pueden luchar contra él y contra nosotros al mismo tiempo.
bordar | Algunos lucharon, otros se tiraron por la borda.
joven | Toc se acercó y esperó, pero los jóvenes no le hicieron caso.
alzar | Los ojos se alzaron y se encontraron con los del joven.
ventar | Se alzó un viento alrededor de los dos.
aquel | Hicimos lo que pensábamos que debíamos hacer en aquel momento.
boca | Abrió la boca, pero no salió nada.
acorde | Poco antes, Rillish se había inclinado hacia el sargento Acorde para hacerle una pregunta.
nadie | —No se deja pasar a nadie, Acorde.
mover | Nadie habló ni se movió.
cortar | Le cortaste la cabeza mientras no podía moverse.
encoger | Jemain se encogió de hombros para asentir.
modo | Pero este no era el modo en que nadie quería que pasara.
largar | De otro modo habríamos tirado de largo.
silenciar | Tras el largo silencio que siguió, levantó los ojos—.
juntar | Acecho, junto a Kyle, asintió en silencio.
jamás | Jamás antes había oído hablar a aquel hombre de ese modo.
menos | Yo, por lo menos, espero no volver a verlos jamás.
suelo | —¡Aquí está! —Alguien se arrojó al suelo junto a ella: Shell—.
primero | Me pregunto quién de ellos será el primero en cortarte la cabeza.
día | Y sí que te querían encontrar esos primeros días.
cosa | Tengo que ponerme al día en muchas cosas allí.
pedir | Y sí, las cosas salieron a pedir de boca.
mí | Has venido a pedirme algo a mí
seguro | —No saben que me tenéis a mí —dijo, o pareció decir, Ullen no estaba seguro—.
subir | Ahora, déjeme subir a bordo.
dentar | —Ammanas… —dijo Viajero entre dientes.
juramentar | —Algunos —dijo entre dientes— lo llaman el juramento de Liss.
dolor | Dolor se encogió de hombros.
dirigir | —Dolor levantó la voz y se dirigió a todo el mundo—.
cercar | Siempre más cerca de lo que tú te crees, Mallick Rel.
abierto | La mujer se dirigió a la puerta abierta.
tipar | Olo se quedó mirando al tipo con la boca abierta.
puñar | El amiguito del tipo no era el puño.
risueño | Risueño alzó un puño.
detener | Arrojo cogió a Risueño del brazo para detenerlo.
comandante | Una comandante de la mano se detuvo a su lado.
tan | ¿Meterse? Ya no es tan joven, comandante.
mi | Ameron era mi comandante.
partir | —Yo seguiré mi camino a partir de ahí.
formar | El otro se está formando a partir de las espadas que se enfrentan a nosotros.
observar | Observó a un sargento que les gritaba a sus hombres para que formaran.
nombrar | Se acercó a Arrojo y dijo—: Pueden maldecir mi nombre, Arrojo, siempre que mueran haciéndolo.
atrás | Ullen observó que el hombre echaba el puño hacia atrás una vez más.
batallar | —Por aquel entonces también formábamos para la batalla, Imotan.
desaparecer | Dio un paso atrás y desapareció en la oscuridad.
eh | —Eh, ese tipo, Harmin, creo que a partir de ahora deberíamos llamarle Sonrisas.
forzar | Caerá sobre las fuerzas talianas.
campar | En campo abierto otra vez, como tanto tiempo atrás.
carcajada | Bajó al campo de batalla, entre los caídos, riéndose a carcajadas.
labio | Una sonrisa le tiraba de los labios y lanzó una risita, después una carcajada abierta.
ningún | —¡Esperad, maldita sea! —Ninguno se detuvo.
rata | Los dos se miraron un rato sin que ninguno apartara los ojos.
durante | Siguieron caminando en silencio durante un rato.
marcar | Ni el marqués ni Ghelel hablaron durante un rato.
empezar | —No le haga caso… —empezó a decir el marqués.
k | K’azz muerto o desaparecido.
juramentado | K’azz, Trémula y los otros juramentados, todos se inclinaron ante aquel hombre.
piedra | Diles que suban más piedras.
golpear | Arrojo se golpeó la cabeza contra el suelo de piedra.
intentar | El hombre intentó golpear el brazo de Viajero.
sacudir | Intentó sacudir la cabeza, ¡cómo le daba vueltas! No paraba.
soldar | Está seguro de que no hay ningún soldado ahí fuera
último | No hasta que caiga el último soldado.
demasiado | Me he dejado llevar por ella demasiado en los últimos tiempos.
casi | No sabemos casi nada de ella, a decir verdad.
muchacha | Pero ahora estamos muy cerca, muchacho.
espalda | Noche les dio la espalda a los guardias y les levantó el puño a sus muchachos.
aguar | Viajero le dio la espalda y Ereko subió tras él y salieron del agua.
abajar | Después de todo, hay muy poca agua por aquí abajo.
arribar | Ogilvy le lanzó una larga mirada, de arriba abajo.
sur | ¿Quién iría río arriba por aquel entonces? ¿Pieraro? No, él va al sur.
jinete | —Jinetes que se acercan desde el sur —dijo en un aparte.
reunir | Ameron se reunió con ella cuando se dirigió a encontrarse con los jinetes.
soldado | Reúna a los soldados de la corte.
orden | —Nuestras órdenes… —empezó a decir uno.
buscar | Antes de que todo el mundo se dirija a ellos en busca de órdenes.
oscuro | La forma oscura pasó nadando a su lado.
alto | —Todo campo abierto —dijo Noche, que estaba pensando en voz alta.
mandar | —¡Que me manden al mago! —gritó Trémula tan alto como pudo.
regresar | Le pido que regrese a su mando, al sur del Idryn.
dios | ¡Dioses! Las cosas que tenían que hacer para poder regresar a Stratem.
ayudar | —¡Dioses, mujer! Bueno, al menos ayúdame a levantarme.
pues | —¿Quieres ayuda? Pues ahí la tienes.
ninguno | —Bueno, pues entonces no dé ninguna orden.
jorobar | Se encontró con que había esperado demasiado, Joroba no estaba por ninguna parte.
sentar | Siento que tenga que ser de este modo…
parpadear | Se puso en pie parpadeando y sacudiendo la cabeza.
agachar | Unas manos tiraron de él y se agachó con un parpadeo.
mueca | Acorde hizo una mueca y se agachó.
hojalatero | —¿Eh? ¿Quién es? —El hombre vio a Hojalatero y volvió a hacer otra mueca—.
cada | Hojalatero estaba mirando al juramentado, que cada vez se acercaba más.
ere | —Liss… siento abrirte los ojos, pero ya no eres ninguna jovencita.
oficial | No sé los nombres de los oficiales y magos de Kan y Cawn que están aquí.
rodear | Los hombres y las mujeres que rodeaban a Noche gritaron y señalaron a un lado.
contar | —Solo si cuentas los soldados que nos rodean.
garra | Por fuerza estarás al mando de la Garra.
mayor | Como irá Zarigüeya y la mayor parte de la Garra.
limitar | El sargento mayor Temp se limitó a observar a Noche durante un rato sin decir nada.
perder | Se había limitado a perder la cuenta
conseguir | ¿Cómo lo conseguiste? Todo el mundo cree que se perdió.
necesitar | —Supongo que creen que van a necesitar toda la ayuda que puedan conseguir.
continuar | —Necesita todos los brazos que pueda conseguir, comandante —continuó Udep.
ti | Te queremos a ti, nos vendrías muy bien, pero necesitamos saberlo.
marchar | ¡Di la orden de marchar! La Guardia continúa en el campo de batalla.
cogulla | Pero uno no se limita a «echar un ojo» a hombres como Cogulla.
gris | El viejo Gris va a armársela a Cogulla.
melena | —¡Acecho! —Kyle buscó entre los hombres y lo encontró cerca de Melena Gris.
golpe | Tú o… —se detuvo y después continuó de golpe—, Melena Gris.
ciudad | —Quiere decir —continuó Seda— que esta noche han dado un golpe de estado en la ciudad.
sacar | Yo he metido a mis hombres en esto y yo los voy a sacar
aire | Gujran sacó su espada corta y la alzó en el aire.
repente | —¡Primera espada! —exclamó Laseen de repente, casi cortando el aire entre los dos—.
delante | Molk, que corría por delante de ella, desapareció de repente.
siquiera | El oficial de Cawn ni siquiera se habría dado cuenta de a quién tenía delante.
e | El capitán asintió e hizo una mueca.
encimar | —Dioses, estarán hablando hasta que la última noche nos caiga encima.
saludar | —O te estaba saludando a ti.
veterano | La veterana se detuvo delante del hombre, que inclinó la cabeza a modo de saludo.
conocer | —Se reunió con un viejo veterano seti que conocía de antes.
grande | —Entonces vamos a conocer a esos grandes poderes.
visto | El más grande que he visto jamás.
creer | He luchado contra muchas cosas y he visto cosas que sigo sin creerme.
incluso | Incluso creyó oír que lo llamaban por su nombre una o dos veces.
lejos | Él solo había visto a esos dos comandantes de lejos y esperaba que así siguiera siendo.
terminar | —Será mejor que no termine siendo la espada —dijo una voz no muy lejos.
gruñir | Dol se lo quedó mirando y la carcajada terminó con un gruñido de dolor.
girar | Al girar exclamó algo, el joven respondió con un gruñido y se puso en guardia.
sentir | Parpadeó y sacudió la cabeza, pero se sintió como si todavía estuviera girando.
aunque | Viajero se giró hacia ellos, aunque sus ojos se detuvieron en la entrada un poco más.
acabar | Bueno, pues tendremos que acabar con eso aunque sea a golpes.
pequeño | Un gesto muy pequeño… pero sentía que le debía a la joven al menos eso.
anciano | —Estoy buscando a unos ancianos, pequeña.
sonreír | La anciana se limitó a sonreírle a Risueño.
blanco | —Volvió a sonreír con sus dientes blancos—.
posible | —Acabo de decir que mandó llamar a todos los posibles, incluso en Malaz.
línea | Tras las líneas esperaban las espadas de la Guardia, veteranos y juramentados todos y cada uno.
tensar | La mujer se limitó a sonreír, las líneas que rodeaban su boca estaban tensas.
alentar | —Vuelve a mí —dijo ella, la voz tan tensa que casi parecía haberse quedado sin aliento.
igual | —Jinetes —dijo Acorde en un aparte, aunque Rillish podía oírlos igual de bien.
nuevo | —Igual que en los viejos tiempos, ¿eh? Y hablando de eso, veamos esa nueva espada.
senda | Pero soy nuevo en estas sendas.
dónde | De dónde habían salido, por todas las sendas del Embozado
barco | —Todos sus barcos nuevos son viejos.
negro | Maga de barco, salida de Ciudad Negra.
adelantar | De ahora en adelante no dejamos de movernos.
tardar | Melena Gris tardó un rato en responder, pero Kyle lo sentía allí, más cerca.
sangrar | Si la sangre joven seti no estaba ahí fuera ya, no tardaría en estarlo.
atención | El yelmo se giró y lo observó con más atención.
único | —¡Trémula! No eres la única con la que habló Humo.
regalar | El regalo que le había hecho Osserc; ni siquiera la había sacado todavía.
suspirar | Dolor suspiró y miró a Regalo, que se encogió de hombros.
montura | —¿Y tú crees que quiero? —Talia suspiró, acercó la montura y le cogió el brazo—.
militar | El sargento Acorde hizo un saludo militar, giró su montura y se adelantó.
secar | Otro saludo seco, un giro militar y salida.
apoyar | El jinete se detuvo en seco, con la lanza apoyada.
luz | El haz de luz regresó.
mal | —Como te dije, soldado —dijo su sargento—, te va sentar mal.
cierto | —¿Es eso cierto, señor? Un mal día, aquel.
propio | Pero la había, ¿no es cierto? El propio Ryllandaras.
agitar | Ehrlann la cogió y la agitó delante de su propia cara.
pelar | Nada se apartó de la cara el pelo agitado por el viento.
dedo | Seda se pasó los dedos por el pelo y suspiró.
esbozar | Miró a Risueño, que levantó un dedo e intentó sonreír; solo pudo esbozar una mueca.
baja | —¿Dónde estamos? —le preguntó Regalo a Dedos, en voz muy baja.
tal | Tal y como han quedado, puede que todavía quieran sangre.
esforzar | Lo único que se espera de ti es que te esfuerces por hacerlo.
murmurar | Al menos unos cuantos de sus oficiales hicieron el esfuerzo de murmurar «Sí, señor».
proteger | —Que la gran diosa nos proteja —murmuró Liss, la cabeza girada de repente hacia el este.
coser | No hacemos tal cosa.
matar | —Hay una cosa —murmuró—, pero solo conseguirás que te maten.
tropa | —Joroba… ¿Estás aquí? Las tropas de Trémula ya han partido.
imperial | —Nos enfrentaremos a los imperiales, pero ninguno de mi tropa.
antiguar | Una vez más nos enfrentaremos a los imperiales, quizá a los de tu antigua tropa.
arma | Te lo pido de nuevo, tirad las armas.
saltar | Los juramentados maldijeron, se levantaron de un salto y echaron a correr mientras sacaban las armas.
chico | Se levantó de un salto, ya había sacado otras armas, pero la chica había desaparecido.
fruncir | Mallick frunció los labios, pensó en sentarse enfrente de la chica, pero después se arrepintió.
ceño | Frunció los labios, apartó la mirada y después se le marcó el ceño.
estudiar | La anciana lo estudió con atención una vez más, con el ceño fruncido.
hoja | El mago frunció el ceño mientras estudiaba la hoja.
tender | El camino de la chica la llevó de regreso a las tiendas de los oficiales.
entender | Se preguntó a qué estaban esperando, pero entonces Viajero entró en la tienda y lo entendió.
vuestro | No entiendo vuestras sendas.
hermane | —No somos hermanos vuestros.
frente | El mayor de los hermanos Perdidos se llevó una mano a la frente y suspiró.
puntar | Había estado a punto de hacerle saltar y salir corriendo
contener | Zarigüeya estuvo a punto de inclinarse, pero se contuvo a tiempo.
mantener | Tenemos que mantener contenidas a las fuerzas kanesianas.
alejar | Pero sabía que no podrías mantenerte alejado.
ademán | Entonces llegaron otros guardias y alejaron a Kyle con unos cuantos ademanes.
erguir | K’azz se irguió y habló en voz alta.
mala | —¡Lo va a matar! —exclamó Malas Tierras.
fuego | Malas Tierras se agachó junto al fuego.
podar | Espero que podamos verlo más tarde.
usar | Quizá podamos usar la senda Imperial para movernos…
caballo | Caballos y hombres acabaron por los aires, dando vueltas.
quitar | Detuvieron los caballos; la espada se quitó el yelmo e inclinó la cabeza.
puñetero | No me puedo creer que esté protegiendo unos malditos caballos, por el puñetero Embozado.
fuerte | El puñetero viento es demasiado fuerte.
pena | Penas sacó dos hojas cortas.
idiota | —¡Yath! ¡Serás idiota! —gruñó Penas.
cruzar | No creerías de verdad que seríamos tan idiotas como para cruzar las espadas con él, verdad
emperador | Dices que apoyas a la emperatriz.
cerrar | La puerta se cerró y la emperatriz y él se quedaron solos.
chillar | —¡Cerraos! —chilló la mujer mientras se levantaba.
disparar | —¿Quién ha disparado? ¡He dicho que no abran fuego! —chilló a grandes voces.
palabra | —No tenía… —Viajero contuvo las palabras y se llevó un puño a los labios.
tomar | No creas que no te voy a tomar la palabra.
claro | Claro que no se supone que tengamos que conseguirlo.
musgo | Musgo solo pudo sacudir la cabeza, para él estaba muy claro, maldita fuera.
servir | Tendrá que servir —suspiró Musgo, y con un gesto mandó continuar a sus hombres.
os | —Así que os servisteis solos.
gracia | Y os damos las gracias…
focha | —¿Qué es eso? ¿Jhogen? —Fochas cayó entonces en la cuenta y esbozó una sonrisa sin gracia—.
cuchillo | Fochas y Malas Tierras dieron un salto y sacaron unos cuchillos.
susurrar | —Coge el cuchillo —le susurró—.
barra | —¿Dónde crees que estamos? —susurró Barras.
final | Barras asintió con un gruñido, algo le había dicho que al final terminarían así.
escuchar | Escucha, no te lo tomes a mal.
enviar | Te quedarás y escucharás todo lo que este enviado tiene que decir.
porque | Lo siento más porque yo no habría enviado a alguien como tú.
gustar | Porque si es así, aquí a mi sargento le gustaría mucho dispararte.
decidir | Ghelel decidió que quizá terminara gustándole eso de ser oficial.
suficiente | Zarigüeya decidió que quizá ya había observado durante tiempo suficiente.
escupir | —Hemos terminado —escupió y se giró para alejarse con paso decidido.
ladear | —Acorde ladeó la cabeza para asentir y escupió en el suelo.
pesado | Había ladeado la cabeza de frente pesada como si estuviera escuchando.
huir | Ponía los ojos en blanco, buscaba una forma de huir, le pareció a Arrojo.
costar | Trémula se irguió y se acercó al costado del barco.
pasa | —¿Qué pasa ahí abajo? —chilló tan alto como pudo.
lugar | qué nos pasa cuando volvemos a esos lugares, eh
vida | Verdades antiguas continúan con vida en algún lugar.
salvar | El único lugar en el que debió de creerse a salvo de todo el mundo.
amigar | No pensé que nadie, salvo aquí mi amigo, pudiera moverlo.
favor | Por favor, piensa en todas las vidas que se van a perder.
donde | El otro levantó un dedo y señaló el lugar donde había caído el talwar—.
recordar | Había un hombre donde Lurin no recordaba haber visto a nadie caminar jamás.
avanzar | Igual que deben saberlo ellos, al parecer, de otro modo no estarían avanzando.
aparecer | Cogulla apareció entonces a su espalda, fue como si saliera de la nada.
año | —Cada año se supone que van a aparecer.
muralla | Por aquel entonces los soldados malazanos llevaban ya unos años apareciendo en la muralla.
norte | Échale un ojo a la muralla norte.
llenar | Por esta noche ya está lleno, se dirige al norte.
supremo | El puño supremo se quitó el yelmo.
fin | Trémula por fin se enfrentó al antiguo puño supremo.
maldición | Diste tu vida para poner fin a la maldición.
imperio | Hemos venido para llevaros a todos de regreso a Quon para luchar contra el Imperio.
tono | Baja un poco el tono.
bastante | veteranos que parecían bastante mayores
idear | Bueno, ella tenía una idea bastante clara de quién podía ser.
señor | Que la Señora los salve, ha empezado.
cubierta | —Sí, señora —respondió alguien desde la cubierta.
vaciar | —¡Capitán! —le gritó Hojalatero a lo que parecía una cubierta vacía.
nunca | —Uno que se ha movido por el vacío lo suficiente para saber que esto nunca terminará.
cambiar | algunas cosas nunca cambiaban
cuerpo | El cambio del suelo seco llevó su atención al más antiguo de los dos cuerpos.
freír | Había hecho un frío puñetero todos esos años en Korel.
carmesí | Cuando pasaron por allí, los guardias carmesíes se hicieron con todas esas armas.
tres | Los guardias fueron abriéndoles paso a los tres.
vosotros | —Vosotros tres —les dijo a los otros— podéis iros.
chica | Tres de nuestros chicos más fuertes tirarán de él.
mío | —Vosotros haced el vuestro, que yo haré el mío.
informar | Pero el único informe que Anand escuchará es el mío.
limpiar | —Levantó la mano y cogió un puñado de informes para limpiarse la sangre—.
intercambiar | Tras la montura del comandante, Ullen y Musgo intercambiaron una mirada, pero no dijeron nada.
armadura | —Ghelel empezó a cambiarse para ponerse la armadura.
permanecer | Ho permanecía en silencio, con los ojos puestos en el hombre muerto.
vista | Los dos magos que permanecían a la vista de Noche levantaron los brazos.
razón | —Mucha más razón desde el punto de vista de él, supongo.
seriar | —¿En serio? No creía que fuera posible.
imaginar | ¿Con quién más podía contar? Con la mayor parte de sus tropas, se imaginaba… y esperaba.
pelotón | Lo lanzó a él y a su pelotón hacia atrás, aunque estaban echados bocabajo.
retirar | Se volvió hacia su pelotón, que permanecía allí observando a los jinetes que se retiraban.
permitir | Nos permitirás retirarnos sin más
yegua | —Bueno, gracias, capitán Musgo, por permitirme usar su caballo.
pesar | —¿Y qué haríamos con él? Pesa demasiado para subirlo a un caballo.
vuelta | A pesar de sí mismo, se dio la vuelta.
d | ¡Había tenido que abrir esa puñetera bocaza de D’rek! Ya no había vuelta atrás.
estirar | Unas manos se estiraban como garras…
ballesta | —Entra aquí —le gruñó y estiró el brazo para cogerle la ballesta.
callar | En la puerta, un guardia observaba la calle con la ballesta levantada.
furioso | Yath se calló, con la mirada furiosa y sin dejar de mover la boca.
indicar | —A Manos, que lo miraba furiosa, el sargento le indicó con un ademán que siguiera.
entrecerrar | Con los ojos entrecerrados, Lurgman se volvió para observar furioso el agua.
apretar | El sargento Acorde apretó los labios y apartó la vista con los ojos entrecerrados.
durar | La boca del hombre se apretó en una línea dura.
sombra | Entrecerró los ojos y miró en la oscuridad de las sombras de la tarde que caía.
envolver | El mago permanecía en pie sobre la nada, erguido, envuelto en sombras que cambiaban.
presenciar | La presencia fue hacia el muchacho y pareció envolverlo.
suyo | —Sí… Mató a uno de los suyos delante de mis propios ojos.
oh | —Oh, sí, por favor, infórmenme.
cualquiera | —Oh, cualquiera lo bastante fuerte, me imagino.
vivo | Podía mirarlos, podía mirar a cualquiera, vivo o muerto, y no verlo.
ocupar | —Nos ocuparemos de eso entonces, suponiendo que alguno siga vivo.
examinar | Dolor la examinó de arriba abajo.
cercano | Noche examinó los cierres de la más cercana.
profundar | —Nuestros hermanos nos necesitan —decía con voz profunda el moranthiano—.
defender | —Lucharé para defenderme —dijo con voz baja y profunda.
puerto | —No tienen suficientes hombres para defender el puerto.
mediar | Entonces ponte en medio y defiéndete, que el Embozado te lleve
sisear | —¡Quitaos de en medio, idiotas! —siseaba.
sentido | —Chille otra vez y la dejo sin sentido —siseó en voz muy baja—.
justar | No tenía sentido quedarse justo donde cualquiera que mirara querría que estuvieras.
ustedes | —Justo donde se encuentra usted.
húmedo | Kyle se secó la cara húmeda y fría y parpadeó.
barbilla | Molk levantó la barbilla para indicar algo a espaldas de la chica.
orillar | El marqués levantó la barbilla para indicar la otra orilla.
expresión | Storo estaba mirando la orilla oscura con expresión tensa.
cuello | Cogulla se llevó una mano al cuello y se esforzó por mantener la expresión seria.
molestar | —¡Para morir! —gruñó Barras con expresión furiosa, pero no tendría que haberse molestado.
comentar | Permite que te diga que tengo unas cuantas cosas que comentar con ella, si quisiera molestarme.
embargar | Sin embargo, primero tendría que comentar todo lo que acababa de oír con Seda.
prisa | Se la metió a toda prisa en la saquita que llevaba alrededor del cuello.
